family,miss_rate,inflation_rate,policy,seed,episodes,cost,success,wrong_route,confirmed,support_size
support_calibration,0.0,0.0,tao_nominal,0,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,1,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,2,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,3,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,4,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,5,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,6,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,7,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,8,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,9,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,10,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,11,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,12,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,13,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,14,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,15,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,16,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,17,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,18,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,19,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,20,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,21,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,22,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,23,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,24,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,25,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,26,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,27,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,28,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,tao_nominal,29,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,0,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,1,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,2,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,3,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,4,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,5,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,6,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,7,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,8,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,9,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,10,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,11,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,12,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,13,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,14,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,15,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,16,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,17,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,18,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,19,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,20,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,21,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,22,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,23,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,24,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,25,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,26,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,27,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,28,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,support_inflated_tao,29,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,0,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,1,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,2,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,3,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,4,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,5,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,6,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,7,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,8,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,9,500,2.0,1.0,0.0,0.0,1.0
support_calibration,0.0,0.0,conservative_tao,10,500,2.0,1.0,0.0,0.0,1.0
