family,scenario,nuisance_bits,policy,seed,episodes,cost,success,wrong_route,steps,mode_senses,nuisance_senses,max_world_states,max_tao_edges,max_regret_width,first_action_sense
product_route,nuisance_only,0,tao_dominance,0,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,1,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,2,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,3,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,4,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,5,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,6,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,7,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,8,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,9,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,10,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,11,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,12,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,13,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,14,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,15,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,16,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,17,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,18,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,19,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,20,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,21,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,22,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,23,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,24,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,25,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,26,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,27,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,28,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_dominance,29,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,0,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,1,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,2,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,3,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,4,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,5,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,6,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,7,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,8,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,9,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,10,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,11,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,12,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,13,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,14,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,15,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,16,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,17,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,18,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,19,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,20,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,21,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,22,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,23,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,24,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,25,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,26,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,27,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,28,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,tao_regret_width,29,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,0,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,1,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,2,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,3,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,4,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,5,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
product_route,nuisance_only,0,voi_oracle,6,300,1.0,1.0,0.0,1,0,0,1,0,0.0,0.0
