action_count,nuisance_bits,policy,replicates,mean_cost,ci95_cost,mean_success,ci95_success,mean_steps,ci95_steps,mean_mode_senses,ci95_mode_senses,mean_nuisance_senses,ci95_nuisance_senses,mean_wasted_senses,ci95_wasted_senses,mean_max_world_states,ci95_max_world_states,mean_max_tao_edges,ci95_max_tao_edges,mean_max_regret_width,ci95_max_regret_width
3,0,entropy_gain,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,0,mean_belief,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,0,minimax,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,0,mutual_info_proxy,30,2.3800000000000003,1.6163198016761878e-16,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,0,tao_edge,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,0,tao_regret,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,0,voi_oracle,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,entropy_gain,30,2.9899999999999998,1.6163198016761878e-16,1.0,0.0,10.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,mean_belief,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,minimax,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,mutual_info_proxy,30,3.340000000000002,8.081599008380938e-16,1.0,0.0,11.0,0.0,2.0,0.0,8.0,0.0,8.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,tao_edge,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,tao_regret,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,8,voi_oracle,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,entropy_gain,30,3.950000000000002,6.465279206704751e-16,1.0,0.0,18.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,mean_belief,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,minimax,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,mutual_info_proxy,30,4.299999999999998,6.465279206704751e-16,1.0,0.0,19.0,0.0,2.0,0.0,16.0,0.0,16.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,tao_edge,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,tao_regret,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,16,voi_oracle,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,196608.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,32,entropy_gain,30,5.870000000000003,9.697918810057126e-16,1.0,0.0,34.0,0.0,1.0,0.0,32.0,0.0,32.0,0.0,12884901888.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,32,mean_belief,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12884901888.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,32,minimax,30,3.766666666666666,3.2326396033523756e-16,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12884901888.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,32,mutual_info_proxy,30,6.22,0.0,1.0,0.0,35.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,12884901888.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,32,tao_edge,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12884901888.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
3,32,tao_regret,30,2.0300000000000007,1.6163198016761878e-16,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12884901888.0,0.0,3.0,0.0,4.3400000000000025,9.697918810057126e-16
