family,gates,nuisance_bits,policy,seed,episodes,cost,gate_success,trajectory_success,mode_senses,nuisance_senses,recovery_cost,max_world_states
long_horizon,2,0,receding_tao,0,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,1,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,2,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,3,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,4,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,5,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,6,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,7,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,8,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,9,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,10,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,11,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,12,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,13,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,14,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,15,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,16,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,17,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,18,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,19,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,20,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,21,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,22,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,23,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,24,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,25,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,26,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,27,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,28,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,receding_tao,29,180,4.0,1.0,1.0,2.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,0,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,1,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,2,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,3,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,4,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,5,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,6,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,7,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,8,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,9,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,10,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
long_horizon,2,0,horizon2_tao,11,180,3.399999999999989,1.0,1.0,1.0,0.0,0.0,4.0
