miss_rate,inflation_rate,policy,replicates,mean_cost,ci95_cost,mean_success,ci95_success,mean_wrong_route,ci95_wrong_route,mean_confirmed,ci95_confirmed,mean_support_size,ci95_support_size
0.005,0.5,support_inflated_tao,30,2.3743299999999996,0.012551408182424909,0.9960000000000001,0.0011432528707319232,0.004000000000000001,0.0011432528707319223,0.5082,0.007598256884191333,1.5082,0.007598256884191334
0.005,0.5,tao_nominal,30,2.053533333333333,0.011452106885748391,0.9951333333333334,0.0010411006259771261,0.0048666666666666684,0.001041100625977125,0.0,0.0,1.0,0.0
0.005,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.01,0.0,conservative_tao,30,2.118066666666666,0.01772264539381155,0.9892666666666666,0.0016111495812555958,0.010733333333333338,0.001611149581255594,0.0,0.0,1.0,0.0
0.01,0.0,entropy_commit,30,2.1173333333333333,0.018180988360861423,0.9893333333333333,0.0016528171237146741,0.010666666666666673,0.0016528171237146724,0.0,0.0,1.0,0.0
0.01,0.0,support_inflated_tao,30,2.1217333333333332,0.017872746702656473,0.9889333333333331,0.0016247951547869541,0.01106666666666667,0.0016247951547869528,0.0,0.0,1.0,0.0
0.01,0.0,tao_nominal,30,2.1056,0.016331512910047096,0.9904000000000001,0.001484682991822463,0.009600000000000004,0.0014846829918224618,0.0,0.0,1.0,0.0
0.01,0.0,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.01,0.1,conservative_tao,30,2.106333333333333,0.020786142539822635,0.9903333333333333,0.0018896493218020585,0.009666666666666669,0.0018896493218020565,0.0,0.0,1.0,0.0
0.01,0.1,entropy_commit,30,2.1136666666666666,0.01861658085163236,0.9896666666666668,0.0016924164410574867,0.010333333333333337,0.0016924164410574854,0.0,0.0,1.0,0.0
0.01,0.1,support_inflated_tao,30,2.1702533333333323,0.01590183066420195,0.9903999999999998,0.0014846829918224635,0.009600000000000003,0.0014846829918224616,0.09946666666666668,0.00561630851342834,1.0994666666666668,0.005616308513428333
0.01,0.1,tao_nominal,30,2.1144000000000003,0.01566354538924442,0.9895999999999998,0.001423958671749492,0.010400000000000003,0.0014239586717494908,0.0,0.0,1.0,0.0
0.01,0.1,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.01,0.2,conservative_tao,30,2.108533333333333,0.015599742495173104,0.9901333333333329,0.0014181584086520992,0.009866666666666671,0.001418158408652098,0.0,0.0,1.0,0.0
0.01,0.2,entropy_commit,30,2.112933333333333,0.01637507530514111,0.9897333333333335,0.0014886432095582841,0.01026666666666667,0.0014886432095582824,0.0,0.0,1.0,0.0
0.01,0.2,support_inflated_tao,30,2.2171499999999984,0.01442253916490511,0.9923333333333332,0.0012192605007062185,0.0076666666666666715,0.0012192605007062172,0.20433333333333337,0.0057103390267799585,1.2043333333333335,0.005710339026779964
0.01,0.2,tao_nominal,30,2.1092666666666666,0.01483431349157363,0.9900666666666663,0.0013485739537794225,0.00993333333333334,0.0013485739537794212,0.0,0.0,1.0,0.0
