scenario,nuisance_bits,policy,replicates,mean_cost,ci95_cost,mean_success,ci95_success,mean_wrong_route,ci95_wrong_route,mean_steps,ci95_steps,mean_mode_senses,ci95_mode_senses,mean_nuisance_senses,ci95_nuisance_senses,mean_max_world_states,ci95_max_world_states,mean_max_tao_edges,ci95_max_tao_edges,mean_max_regret_width,ci95_max_regret_width
asymmetric_loss,0,belief_pruned_topk,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,entropy_threshold,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,qmdp,30,5.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,random_sensor,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,robust_minimax,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,tao_dominance,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,tao_regret_width,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,uncertainty_count,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,0,voi_oracle,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,belief_pruned_topk,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,entropy_threshold,30,2.4,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,qmdp,30,5.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,random_sensor,30,2.200000000000001,3.2326396033523756e-16,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,robust_minimax,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,tao_dominance,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,tao_regret_width,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,uncertainty_count,30,2.4,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,2,voi_oracle,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,4,belief_pruned_topk,30,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,8.0,0.0
asymmetric_loss,4,entropy_threshold,30,2.7999999999999985,4.848959405028563e-16,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,32.0,0.0,1.0,0.0,8.0,0.0
