support_miss_rate,episodes,mean_cost,success_rate,wrong_route_rate
0.0,2000,2.0,1.0,0.0
0.01,2000,2.088,0.992,0.008
0.02,2000,2.2475,0.9775,0.0225
0.05,2000,2.5555,0.9495,0.0505
0.1,2000,3.276,0.884,0.116
0.2,2000,4.255,0.795,0.205
